* ******************************************************************************

* iCEcube Pin Table

* Version:            2020.12.27943

* Build Date:         Dec 10 2020 17:24:17

* File Generated:     May 27 2022 09:13:35

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40HX8K
Package, CB132

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
A1, PIO, hsync, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
A2, PIO, hblank, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
A3, PIO, vsync, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
A4, PIO, vblank, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
A5, PIO, not used, , , , , , topBank
A6, PIO_GBIN, port_address[8], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, topBank
A7, PIO_GBIN, port_address[0], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, topBank
A8, VCCIO_0, not used, , , , , , topBank
A9, GND, not used, , , , , , UnknownBank
A10, PIO, port_address[9], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, topBank
A11, PIO, port_address[1], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, topBank
A12, PIO, port_address[11], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, topBank
A13, VPP_DIRECT, not used, , , , , , UnknownBank
A14, VPP_PUMP, not used, , , , , , UnknownBank
B1, PIO, not used, , , , , , leftBank
B14, PIO, port_address[3], InOut, , SB_LVCMOS, No Pull Up, Simple Input Output Tristatable by Enable, rightBank
C1, PIO, rgb[4], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
C3, PIO, not used, , , , , , leftBank
C4, PIO, not used, , , , , , topBank
C5, PIO, not used, , , , , , topBank
C6, PIO, not used, , , , , , topBank
C7, PIO, port_data[0], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
C8, AVDD_TOP, not used, , , , , , UnknownBank
C9, PIO, port_address[10], Output, , SB_LVCMOS, No Pull Up, Output Tristatable by Enable, topBank
